name,owner,url,stars,forks,description,topics,language,created_at,updated_at,has_training,training_files_sample,has_testing,testing_files_sample,open_issues,license
transformers,huggingface,https://github.com/huggingface/transformers,153668,31358,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","['audio', 'deep-learning', 'deepseek', 'gemma', 'glm', 'hacktoberfest', 'llm', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'qwen', 'speech-recognition', 'transformer', 'vlm']",Python,2018-10-29T13:56:00Z,2025-12-10T05:13:19Z,True,"['docs/source/ar/trainer.md', 'docs/source/ar/training.md', 'docs/source/de/training.md', 'docs/source/en/hpo_train.md', 'docs/source/en/internal/trainer_utils.md']",True,"['.circleci/parse_test_outputs.py', '.github/workflows/benchmark_v2.yml', '.github/workflows/benchmark_v2_a10_caller.yml', '.github/workflows/benchmark_v2_mi325_caller.yml', '.github/workflows/check_failed_tests.yml']",2142,Apache License 2.0
funNLP,fighting41love,https://github.com/fighting41love/funNLP,77744,15091,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具",[],Python,2018-08-21T11:20:39Z,2025-12-10T04:39:53Z,True,"['data/中文缩写库/train_set.txt', 'data/中文缩写库/train_set.txt']",True,['data/中文缩写库/test_set.txt'],43,Unknown
vllm,vllm-project,https://github.com/vllm-project/vllm,65012,11851,A high-throughput and memory-efficient inference and serving engine for LLMs,"['amd', 'blackwell', 'cuda', 'deepseek', 'deepseek-v3', 'gpt', 'gpt-oss', 'inference', 'kimi', 'llama', 'llm', 'llm-serving', 'model-serving', 'moe', 'openai', 'pytorch', 'qwen', 'qwen3', 'tpu', 'transformer']",Python,2023-02-09T11:23:20Z,2025-12-10T05:17:52Z,True,"['docs/training/rlhf.md', 'docs/training/trl.md']",True,"['.buildkite/lm-eval-harness/conftest.py', '.buildkite/lm-eval-harness/test_lm_eval_correctness.py', '.buildkite/performance-benchmarks/tests/genai-perf-tests.json', '.buildkite/performance-benchmarks/tests/latency-tests-cpu.json', '.buildkite/performance-benchmarks/tests/latency-tests-hpu.json']",3136,Apache License 2.0
pytorch-image-models,huggingface,https://github.com/huggingface/pytorch-image-models,35974,5082,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more","['augmix', 'convnext', 'distributed-training', 'efficientnet', 'image-classification', 'imagenet', 'maxvit', 'mixnet', 'mobile-deep-learning', 'mobilenet-v2', 'mobilenetv3', 'nfnets', 'normalization-free-training', 'optimizer', 'pretrained-models', 'pretrained-weights', 'pytorch', 'randaugment', 'resnet', 'vision-transformer-models']",Python,2019-02-02T05:51:12Z,2025-12-10T04:56:40Z,True,"['distributed_train.sh', 'hfdocs/source/training_script.mdx', 'hfdocs/source/training_script.mdx', 'results/benchmark-train-amp-nchw-pt112-cu113-rtx3090.csv', 'results/benchmark-train-amp-nhwc-pt112-cu113-rtx3090.csv']",True,"['.github/workflows/tests.yml', 'tests/__init__.py', 'tests/test_layers.py', 'tests/test_layers_drop.py', 'tests/test_layers_pool.py']",72,Apache License 2.0
mmdetection,open-mmlab,https://github.com/open-mmlab/mmdetection,32143,9828,OpenMMLab Detection Toolbox and Benchmark,"['cascade-rcnn', 'convnext', 'detr', 'fast-rcnn', 'faster-rcnn', 'glip', 'grounding-dino', 'instance-segmentation', 'mask-rcnn', 'object-detection', 'panoptic-segmentation', 'pytorch', 'retinanet', 'rtmdet', 'semisupervised-learning', 'ssd', 'swin-transformer', 'transformer', 'vision-transformer', 'yolo']",Python,2018-08-22T07:06:06Z,2025-12-09T13:47:45Z,True,"['.dev_scripts/batch_train_list.txt', '.dev_scripts/batch_train_list.txt', '.dev_scripts/benchmark_train.py', '.dev_scripts/benchmark_train.py', '.dev_scripts/benchmark_train_models.txt']",True,"['.circleci/test.yml', '.dev_scripts/batch_test_list.py', '.dev_scripts/benchmark_filter.py', '.dev_scripts/benchmark_full_models.txt', '.dev_scripts/benchmark_inference_fps.py']",1944,Apache License 2.0
vit-pytorch,lucidrains,https://github.com/lucidrains/vit-pytorch,24616,3459,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","['artificial-intelligence', 'attention-mechanism', 'computer-vision', 'image-classification', 'transformers']",Python,2020-10-03T22:47:24Z,2025-12-10T04:25:51Z,True,"['train_vit_decorr.py', 'train_vit_decorr.py']",True,"['.github/workflows/python-test.yml', 'tests/.ds_store', 'tests/test_vit.py']",142,MIT License
minGPT,karpathy,https://github.com/karpathy/minGPT,23117,3029,A minimal PyTorch re-implementation of the OpenAI GPT (Generative Pretrained Transformer) training,[],Python,2020-08-17T07:08:48Z,2025-12-10T03:49:11Z,True,['mingpt/trainer.py'],True,['tests/test_huggingface_import.py'],79,MIT License
sglang,sgl-project,https://github.com/sgl-project/sglang,21112,3681,SGLang is a fast serving framework for large language models and vision language models.,"['blackwell', 'cuda', 'deepseek', 'deepseek-r1', 'deepseek-v3', 'deepseek-v3-2', 'gpt-oss', 'inference', 'kimi', 'llama', 'llama3', 'llava', 'llm', 'llm-serving', 'moe', 'openai', 'pytorch', 'qwen3', 'transformer', 'vlm']",Python,2024-01-08T04:15:52Z,2025-12-10T05:05:10Z,True,"['docs/references/post_training_integration.md', 'docs/references/post_training_integration.md', 'python/sglang/multimodal_gen/configs/pipeline_configs/flux_finetuned.py', 'python/sglang/srt/constrained/base_grammar_backend.py', 'python/sglang/srt/constrained/llguidance_backend.py']",True,"['.github/workflows/cancel-all-pending-pr-test-runs.yml', '.github/workflows/nightly-test-amd.yml', '.github/workflows/nightly-test-intel.yml', '.github/workflows/nightly-test-npu.yml', '.github/workflows/nightly-test-nvidia.yml']",1661,Apache License 2.0
sentence-transformers,huggingface,https://github.com/huggingface/sentence-transformers,17979,2715,State-of-the-Art Text Embeddings,[],Python,2019-07-24T10:53:51Z,2025-12-10T04:42:17Z,True,"['docs/cross_encoder/pretrained_models.md', 'docs/cross_encoder/training/examples.rst', 'docs/cross_encoder/training_overview.md', 'docs/cross_encoder/training_overview.md', 'docs/img/adaptive_pre-training.png']",True,"['.github/workflows/tests.yml', 'docs/img/backends_benchmark_cpu.png', 'docs/img/backends_benchmark_gpu.png', 'docs/img/ce_backends_benchmark_cpu.png', 'docs/img/ce_backends_benchmark_gpu.png']",1339,Apache License 2.0
trl,huggingface,https://github.com/huggingface/trl,16587,2342,Train transformer language models with reinforcement learning.,[],Python,2020-03-27T10:54:55Z,2025-12-10T03:17:17Z,True,"['.github/issue_template/new-trainer-addition.yml', 'docs/source/bco_trainer.md', 'docs/source/cpo_trainer.md', 'docs/source/distributing_training.md', 'docs/source/dpo_trainer.md']",True,"['.github/workflows/slow-tests.yml', '.github/workflows/tests-experimental.yml', '.github/workflows/tests.yml', '.github/workflows/tests_latest.yml', 'tests/__init__.py']",602,Apache License 2.0
